id,name,description,created_at,updated_at
1,Truthfulness,,2019-07-21 04:20:17 UTC,2019-07-21 04:20:17 UTC
2,Happiness,,2019-07-21 04:20:17 UTC,2019-07-21 04:20:17 UTC
3,Concentration,,2019-07-21 04:20:17 UTC,2019-07-21 04:20:17 UTC
4,Information,,2019-07-21 04:20:17 UTC,2019-07-21 04:20:17 UTC
5,Life after death,,2019-07-21 04:20:17 UTC,2019-07-21 04:20:17 UTC
6,Source of inspiration,,2019-07-21 04:20:17 UTC,2019-07-21 04:20:17 UTC
7,Love,,2019-07-21 04:20:17 UTC,2019-07-21 04:20:17 UTC
8,God,,2019-07-21 04:20:17 UTC,2019-07-21 04:20:17 UTC
9,Diversity and Inclusion,,2019-07-21 04:20:17 UTC,2019-07-21 04:20:17 UTC
