id,name,birth,death,birth_location,created_at,updated_at
1,Bahá'u'lláh,,,,2019-07-21 04:20:17 UTC,2019-07-21 04:20:17 UTC
2,'Abdu'l-Bahá,,,,2019-07-21 04:20:17 UTC,2019-07-21 04:20:17 UTC
3,Shoghi Effendi,,,,2019-07-21 04:20:17 UTC,2019-07-21 04:20:17 UTC
4,Martin Luther King,,,,2019-07-21 04:20:17 UTC,2019-07-21 04:20:17 UTC
5,Thich Nhat Hanh,,,,2019-07-21 04:20:17 UTC,2019-07-21 04:20:17 UTC
6,William James,,,,2019-07-21 04:20:17 UTC,2019-07-21 04:20:17 UTC
7,Hebert Simon,,,,2019-07-21 04:20:17 UTC,2019-07-21 04:20:17 UTC
